region,subregion,slope_pp_per_year,intercept,r2,last_observed,last_year
Far North,Diamare,-0.7468112131205991,1544.4684040467066,0.9483725290080218,24.7,2030
Far North,Far North,-0.031188780053428466,103.29479073909202,0.02133255912456844,37.9,2018
Far North,Logone-et-Chari,-0.7445980985306828,1542.9960242005186,0.9547747061807408,30.6,2030
Far North,Mayo-Danay,-0.7442687054978404,1539.020724874518,0.9356659228360508,26.1,2030
Far North,Mayo-Kani,-0.8109345752740882,1672.6781910152413,0.9759744687437831,23.7,2030
Far North,Mayo-Sava,-0.7847684515195364,1622.1225898920175,0.9537277958280577,28.9,2030
Far North,Mayo-Tsanaga,-0.7956063985418613,1642.9071611866557,0.9811341656526056,27.9,2030
Littoral,Littoral,-0.29174087266251114,606.8404051647374,0.4439848031635625,15.4,2018
Littoral,Moungo,-0.8243386783781023,1677.1230109284036,0.9769754287820926,4.7,2030
Littoral,Nkam,-0.8546550494696495,1738.1485003119706,0.9794047633083907,3.0,2030
Littoral,Sanaga-Maritime,-0.7997937847688471,1627.6574956838672,0.9853713822949858,3.0,2030
Littoral,Wouri,-0.8078232044198895,1642.2087513812155,0.9665706860083783,3.0,2030
North,Benoue,-0.7696355067708645,1589.8877050647259,0.9525640768712499,28.5,2030
North,Faro,-0.9248729833318479,1899.1600098047957,0.9672097015055743,25.3,2030
North,Mayo-Louti,-0.7971209555218824,1646.993555575363,0.9713123439456455,30.3,2030
North,Mayo-Rey,-0.7620131027720826,1574.6467042517147,0.9780361664052264,27.0,2030
North,North,-0.009928762243989399,61.68121104185235,0.0018805112794371137,39.9,2018
Northwest,Boyo,-0.8577524734824852,1757.4000155985384,0.9587023280242217,10.8,2030
Northwest,Bui,-0.822554111478343,1685.8184115702888,0.9641215645131932,12.1,2030
Northwest,Donga-Mantung,-0.818519921561636,1675.8926931990363,0.9744611971704535,14.8,2030
Northwest,Menchum,-0.8522595596755503,1746.4061413673232,0.9659505732593783,16.5,2030
Northwest,Mezam,-0.8119696860685424,1662.882564692904,0.9570377981561098,14.5,2030
Northwest,Momo,-0.8903035685451319,1819.6702648151145,0.978465720044263,15.6,2030
Northwest,Ngoketunjia,-0.8718940343310112,1782.407154722699,0.9701735022135962,17.8,2027
Northwest,Northwest,-0.16021816562778268,353.5512911843276,0.26349118825079554,27.0,2018
South,Dja-et-Lobo,-0.8414833501513621,1721.881059535822,0.9873628078756647,11.3,2030
South,Mvila,-0.8386106578910981,1719.0374823705095,0.9750516533730174,16.6,2030
South,Ocean,-0.9056466708262767,1853.722546572778,0.9724945761241474,16.6,2030
South,South,-0.17442119323241323,381.1598397150491,0.26072499265018556,27.95,2018
South,Vallee-du-Ntem,-0.8298948013481768,1698.5146256766418,0.9878542162946127,12.6,2030
Southwest,Fako,-0.8437483490358375,1725.8182706700725,0.9753879893232583,12.8,2030
Southwest,Koupe-Manengouba,-0.8104822176664584,1659.463401372671,0.9548637790279455,12.9,2030
Southwest,Lebialem,-0.8228467293305197,1684.7241991175902,0.9837783086404978,12.7,2030
Southwest,Manyu,-0.8244941616899902,1687.1328460647117,0.9705640514302405,14.7,2030
Southwest,Meme,-0.9232427695004376,1885.7788694127946,0.9838530963812214,14.1,2027
Southwest,Ndian,-0.8015865941706035,1641.9784740172922,0.9797847393612197,15.6,2030
Southwest,Southwest,-0.20906055209260901,450.8709706144255,0.39173303896837,27.5,2018
West,Bamboutos,-0.7890988501648988,1616.1889116677064,0.9744147511625827,14.9,2030
West,Haut-Nkam,-0.836360205831904,1711.816898799314,0.9671359259507897,15.4,2030
West,Hauts-Plateaux,-0.849054441260745,1735.4731518624644,0.9795456555134842,11.9,2030
West,Koung-Khi,-0.8266560443004911,1693.7273874203322,0.9640304700514267,12.9,2030
West,Menoua,-0.8340538372403954,1706.9242133880018,0.9798184940136706,14.2,2030
West,Mifi,-0.860555753632231,1760.6010272751582,0.9752601889321001,14.9,2030
West,Nde,-0.8357273375523662,1709.6971543809602,0.9518199233853422,17.1,2030
West,Noun,-0.8520679204920222,1743.974752651751,0.9880695397871454,12.6,2030
West,West,-0.18060997328584155,392.70463045414084,0.15884405056728435,24.25,2018
