region,subregion,year,forecast_stunting,slope_pp_per_year,trend_r2
Centre,Mbam-et-Kim,2028,13.741518851947603,-0.8282645512077723,0.9620531207500931
Centre,Mefou-et-Afamba,2026,15.303453962028698,-0.7965638648720917,0.9794943699755599
Centre,Mefou-et-Afamba,2028,13.710326232284388,-0.7965638648720917,0.9794943699755599
Centre,Mefou-et-Akono,2026,18.442844811049326,-0.8167945520813354,0.9694655372635742
Centre,Mefou-et-Akono,2028,16.80925570688646,-0.8167945520813354,0.9694655372635742
Centre,Mfoundi,2026,15.013721413721441,-0.8261607761607763,0.9721927833747326
Centre,Mfoundi,2028,13.36139986140006,-0.8261607761607763,0.9721927833747326
Centre,Nyong-et-Kelle,2026,15.245623495855398,-0.8325474641233622,0.9806264892529925
Centre,Nyong-et-Kelle,2028,13.58052856760878,-0.8325474641233622,0.9806264892529925
Centre,Nyong-et-Mfoumou,2026,16.705295760626086,-0.7582671939382208,0.9713578844117491
Centre,Nyong-et-Mfoumou,2028,15.188761372749696,-0.7582671939382208,0.9713578844117491
Centre,Nyong-et-Soo,2026,15.471051238619566,-0.8429970357823418,0.9873423613112603
Centre,Nyong-et-Soo,2028,13.785057167054902,-0.8429970357823418,0.9873423613112603
East,Boumba-et-Ngoko,2026,29.706009508716306,-0.7387068145800315,0.9735398561875022
East,Boumba-et-Ngoko,2028,28.228595879556224,-0.7387068145800315,0.9735398561875022
East,East,2026,34.218076580587706,0.0249109528049865,0.011493570357801852
East,East,2028,34.26789848619768,0.0249109528049865,0.011493570357801852
East,Haut-Nyong,2026,23.538265442552756,-0.8925127016668152,0.9734842371288763
East,Haut-Nyong,2028,21.753240039219236,-0.8925127016668152,0.9734842371288763
East,Kadey,2026,25.78862713033709,-0.8059560007154354,0.9822095302177944
East,Kadey,2028,24.176715128906153,-0.8059560007154354,0.9822095302177944
East,Lom-et-Djerem,2026,27.199636310736196,-0.8123217922606928,0.9843552279678954
East,Lom-et-Djerem,2028,25.57499272621476,-0.8123217922606928,0.9843552279678954
Far North,Diamare,2026,31.428886264372977,-0.7468112131205991,0.9483725290080218
Far North,Diamare,2028,29.935263838131732,-0.7468112131205991,0.9483725290080218
Far North,Far North,2026,40.10632235084595,-0.031188780053428466,0.02133255912456844
Far North,Far North,2028,40.04394479073909,-0.031188780053428466,0.02133255912456844
Far North,Logone-et-Chari,2026,34.440276577355235,-0.7445980985306828,0.9547747061807408
Far North,Logone-et-Chari,2028,32.95108038029389,-0.7445980985306828,0.9547747061807408
Far North,Mayo-Danay,2026,31.13232753589341,-0.7442687054978404,0.9356659228360508
Far North,Mayo-Danay,2028,29.643790124897578,-0.7442687054978404,0.9356659228360508
Far North,Mayo-Kani,2026,29.724741509938667,-0.8109345752740882,0.9759744687437831
Far North,Mayo-Kani,2028,28.102872359390403,-0.8109345752740882,0.9759744687437831
Far North,Mayo-Sava,2026,32.18170711343669,-0.7847684515195364,0.9537277958280577
Far North,Mayo-Sava,2028,30.612170210397608,-0.7847684515195364,0.9537277958280577
Far North,Mayo-Tsanaga,2026,31.008597740844607,-0.7956063985418613,0.9811341656526056
Far North,Mayo-Tsanaga,2028,29.417384943760908,-0.7956063985418613,0.9811341656526056
Littoral,Littoral,2026,15.773397150489814,-0.29174087266251114,0.4439848031635625
Littoral,Littoral,2028,15.189915405164811,-0.29174087266251114,0.4439848031635625
Littoral,Moungo,2026,7.012848534368459,-0.8243386783781023,0.9769754287820926
Littoral,Moungo,2028,5.3641711776122065,-0.8243386783781023,0.9769754287820926
